Nom complet,Ticker,Type
3M,MMM,Action
A. O. Smith,AOS,Action
AES Corporation,AES,Action
APA Corporation,APA,Action
AT&T,T,Action
Aave,AAVE-USD,Crypto
AbbVie,ABBV,Action
Abbott Laboratories,ABT,Action
Accenture,ACN,Action
Adobe Inc.,ADBE,Action
Advanced Micro Devices,AMD,Action
Aflac,AFL,Action
Agilent Technologies,A,Action
Air Products,APD,Action
Airbnb,ABNB,Action
Akamai Technologies,AKAM,Action
Albemarle Corporation,ALB,Action
Alexandria Real Estate Equities,ARE,Action
Align Technology,ALGN,Action
Allegion,ALLE,Action
Alliant Energy,LNT,Action
Allstate,ALL,Action
Alphabet Inc. (Class A),GOOGL,Action
Alphabet Inc. (Class C),GOOG,Action
Altria,MO,Action
Amazon,AMZN,Action
Amcor,AMCR,Action
Ameren,AEE,Action
American Electric Power,AEP,Action
American Express,AXP,Action
American International Group,AIG,Action
American Tower,AMT,Action
American Water Works,AWK,Action
Ameriprise Financial,AMP,Action
Ametek,AME,Action
Amgen,AMGN,Action
Amphenol,APH,Action
Analog Devices,ADI,Action
Aon plc,AON,Action
Apollo Global Management,APO,Action
Apple Inc.,AAPL,Action
Applied Materials,AMAT,Action
Aptiv,APTV,Action
Arch Capital Group,ACGL,Action
Archer Daniels Midland,ADM,Action
Arista Networks,ANET,Action
Arthur J. Gallagher & Co.,AJG,Action
Assurant,AIZ,Action
Atmos Energy,ATO,Action
AutoZone,AZO,Action
Autodesk,ADSK,Action
Automatic Data Processing,ADP,Action
Avalanche,AVAX-USD,Crypto
AvalonBay Communities,AVB,Action
Avery Dennison,AVY,Action
Axon Enterprise,AXON,Action
BNY Mellon,BK,Action
"BXP, Inc.",BXP,Action
Baker Hughes,BKR,Action
Ball Corporation,BALL,Action
Bank of America,BAC,Action
Baxter International,BAX,Action
Becton Dickinson,BDX,Action
Berkshire Hathaway,BRK.B,Action
Best Buy,BBY,Action
Bio-Techne,TECH,Action
Biogen,BIIB,Action
Bitcoin,BTC-USD,Crypto
BlackRock,BLK,Action
Blackstone Inc.,BX,Action
Boeing,BA,Action
Booking Holdings,BKNG,Action
Boston Scientific,BSX,Action
Bristol Myers Squibb,BMY,Action
Broadcom,AVGO,Action
Broadridge Financial Solutions,BR,Action
Brown & Brown,BRO,Action
Brown–Forman,BF.B,Action
Builders FirstSource,BLDR,Action
Bunge Global,BG,Action
C.H. Robinson,CHRW,Action
CBRE Group,CBRE,Action
CDW Corporation,CDW,Action
CF Industries,CF,Action
CME Group,CME,Action
CMS Energy,CMS,Action
CSX Corporation,CSX,Action
CVS Health,CVS,Action
Cadence Design Systems,CDNS,Action
Caesars Entertainment,CZR,Action
Camden Property Trust,CPT,Action
Campbell's Company (The),CPB,Action
Capital One,COF,Action
CarMax,KMX,Action
Cardano,ADA-USD,Crypto
Cardinal Health,CAH,Action
Carnival,CCL,Action
Carrier Global,CARR,Action
Caterpillar Inc.,CAT,Action
Cboe Global Markets,CBOE,Action
Cencora,COR,Action
Centene Corporation,CNC,Action
CenterPoint Energy,CNP,Action
Chainlink,LINK-USD,Crypto
Charles River Laboratories,CRL,Action
Charles Schwab Corporation,SCHW,Action
Charter Communications,CHTR,Action
Chevron Corporation,CVX,Action
Chipotle Mexican Grill,CMG,Action
Chubb Limited,CB,Action
Church & Dwight,CHD,Action
Cigna,CI,Action
Cincinnati Financial,CINF,Action
Cintas,CTAS,Action
Cisco,CSCO,Action
Citigroup,C,Action
Citizens Financial Group,CFG,Action
Clorox,CLX,Action
CoStar Group,CSGP,Action
Coca-Cola Company (The),KO,Action
Cognizant,CTSH,Action
Coinbase,COIN,Crypto
Colgate-Palmolive,CL,Action
Comcast,CMCSA,Action
Conagra Brands,CAG,Action
ConocoPhillips,COP,Action
Consolidated Edison,ED,Action
Constellation Brands,STZ,Action
Constellation Energy,CEG,Action
Cooper Companies (The),COO,Action
Copart,CPRT,Action
Corning Inc.,GLW,Action
Corpay,CPAY,Action
Corteva,CTVA,Action
Costco,COST,Action
Coterra,CTRA,Action
CrowdStrike,CRWD,Action
Crown Castle,CCI,Action
Cummins,CMI,Action
D. R. Horton,DHI,Action
